title,description,url,source,published_at,text,content_hash,sim_ww3_risk,sim_us_israel,sim_israel_iran,sim_us_iran,sim_mideast,geo_relevance_score,kw_ww3___escalation,kw_us_israel,kw_israel_iran,kw_iran_us,kw_middle_east_conflict,total_keyword_hits,composite_score,risk_tier
"'Times Are Scary, Very Tough': Esha Gupta Shares Update From Abu Dhabi Amid US-Israel Air Strikes On Iran","Actress Sonal Chauhan, known for her film Jannat, and badminton champion PV Sindhu are among those stuck in the region amid the ongoing security situation. The developments follow coordinated strikes launched by the United States and Israel on Iran, which rep…",https://www.freepressjournal.in/entertainment/times-are-scary-very-tough-esha-gupta-shares-update-from-abu-dhabi-amid-us-israel-air-strikes-on-iran,Free Press Journal,2026-03-01 08:14:44+00:00,"'Times Are Scary, Very Tough': Esha Gupta Shares Update From Abu Dhabi Amid US-Israel Air Strikes On Iran. Actress Sonal Chauhan, known for her film Jannat, and badminton champion PV Sindhu are among those stuck in the region amid the ongoing security situation. The developments follow coordinated strikes launched by the United States and Israel on Iran, which rep…",ca6e4d86065a5a0e4d998e7cae17c0f2,0.0,0.05847268730144718,0.029944113682407687,0.032715270389849345,0.0,0.05847268730144718,0,0,0,0,0,0,0.032159978015795954,Low
We destroyed 137 missiles and 200 drones from Iran - Attacking us is unfair - UAE spokesperson,"There is currently significant attention on an unprecedented series of attacks launched by Iran against the Gulf region, including the United Arab Emirates. While the UAE has been making strenuous efforts to de-escalate regional conflicts through dialogue and…",https://english.gossiplankanews.com/2026/03/we-destroyed-137-missiles-and-200.html,Gossiplankanews.com,2026-03-01 08:10:23+00:00,"We destroyed 137 missiles and 200 drones from Iran - Attacking us is unfair - UAE spokesperson. There is currently significant attention on an unprecedented series of attacks launched by Iran against the Gulf region, including the United Arab Emirates. While the UAE has been making strenuous efforts to de-escalate regional conflicts through dialogue and…",ca8ee19ceb5d40670db29595315c2111,0.0,0.010884042948750684,0.005171290598276056,0.033580416407911956,0.0,0.033580416407911956,0,0,0,0,0,0,0.018469229024351577,Low
Irish citizens urged to shelter in place across Middle East as thousands of flights cancelled,Irish people travelling to or through the region have been urged to contact their airline or travel agent immediately.,https://www.thejournal.ie/irish-travel-advice-middle-east-gulf-6971011-Mar2026/,TheJournal.ie,2026-03-01 07:54:44+00:00,Irish citizens urged to shelter in place across Middle East as thousands of flights cancelled. Irish people travelling to or through the region have been urged to contact their airline or travel agent immediately.,83f52064d520e55bab7776e09b518653,0.0,0.0,0.0,0.0,0.040833276934569,0.040833276934569,0,0,0,0,0,0,0.02245830231401295,Low
"Khamenei's daughter, son-in-law, granddaughter, and daughter-in-law were also killed in the attack - The next successor is second son Mojtaba","Reports indicate that Iran's Supreme Leader Ayatollah Ali Khamenei and 40 other commanders have been killed in a massive missile attack launched by the United States and Israel. Approximately 30 missiles struck Khamenei's office complex, and his daughter, son…",https://english.gossiplankanews.com/2026/03/khameneis-daughter-son-in-law.html,Gossiplankanews.com,2026-03-01 07:40:21+00:00,"Khamenei's daughter, son-in-law, granddaughter, and daughter-in-law were also killed in the attack - The next successor is second son Mojtaba. Reports indicate that Iran's Supreme Leader Ayatollah Ali Khamenei and 40 other commanders have been killed in a massive missile attack launched by the United States and Israel. Approximately 30 missiles struck Khamenei's office complex, and his daughter, son…",2ac0ca92559e1348c3d3835fd2482337,0.0,0.05009917770711073,0.048034919909344345,0.028564742261443773,0.014892149363685013,0.05009917770711073,0,0,0,0,0,0,0.027554547738910907,Low
"Around 1,200 Indian students stuck in Iran; evacuation sought as tensions rise","Kashmiri students in Iran are seeking immediate evacuation following military strikes involving Israel and the US. The Jammu and Kashmir Students Association has appealed to Prime Minister Modi for a full-fledged operation, citing anxiety among around 1,200 s…",https://timesofindia.indiatimes.com/education/news/around-1200-indian-students-stuck-in-iran-evacuation-sought-as-tensions-rise/articleshow/128908504.cms,The Times of India,2026-03-01 07:17:57+00:00,"Around 1,200 Indian students stuck in Iran; evacuation sought as tensions rise. Kashmiri students in Iran are seeking immediate evacuation following military strikes involving Israel and the US. The Jammu and Kashmir Students Association has appealed to Prime Minister Modi for a full-fledged operation, citing anxiety among around 1,200 s…",8e82ef1b34f7302cb7aaef6f7f85d5b3,0.012762704800474886,0.01845840073464823,0.009805113984112646,0.004485427369349505,0.0,0.01845840073464823,0,0,0,0,0,0,0.010152120404056528,Low
"6 Polymarket traders net $1M on US-Iran strike, spark insider fears: Report","Six Polymarket wallets profited roughly $1 million from well-timed US-Iran strike bets, prompting renewed scrutiny over insider trading and prediction market activity.",https://cointelegraph.com/news/polymarket-traders-1m-us-iran-strike-insider-trading-concerns,Cointelegraph,2026-03-01 07:16:30+00:00,"6 Polymarket traders net $1M on US-Iran strike, spark insider fears: Report. Six Polymarket wallets profited roughly $1 million from well-timed US-Iran strike bets, prompting renewed scrutiny over insider trading and prediction market activity.",9ea653bed319c1f4cac0833b2da98958,0.026726874279797797,0.0,0.03285363677753009,0.004878622556502729,0.0,0.03285363677753009,0,0,1,0,0,1,0.24306950011514156,Critical
UN nuclear watchdog calls emergency meeting on Monday over Iran attacks,The International Atomic Energy Agency is holding an urgent meeting. This follows joint military strikes by the United States and Israel on Iran. The agency is monitoring the situation closely. It has detected no radiological impact from the strikes or counte…,https://economictimes.indiatimes.com/news/international/world-news/un-nuclear-watchdog-calls-emergency-meeting-on-monday-over-iran-attacks/articleshow/128908505.cms,The Times of India,2026-03-01 07:11:30+00:00,UN nuclear watchdog calls emergency meeting on Monday over Iran attacks. The International Atomic Energy Agency is holding an urgent meeting. This follows joint military strikes by the United States and Israel on Iran. The agency is monitoring the situation closely. It has detected no radiological impact from the strikes or counte…,03cc353d0aadee7217c57359210ddf29,0.032255409641331154,0.07408199391894126,0.0466755733918339,0.03631716501627015,0.0,0.07408199391894126,1,0,1,0,0,2,0.4907450964304177,Critical
Ex‑VP Harris slams Trump for dragging US into unwanted Iran conflict,"Former VP Kamala Harris accuses Trump of dragging the US into a dangerous and unnecessary Iran conflict, calling for congressional oversight.

Read More: https://punchng.com/ex%e2%80%91vp-harris-slams-trump-for-dragging-us-into-unwanted-iran-conflict/",https://punchng.com/ex‑vp-harris-slams-trump-for-dragging-us-into-unwanted-iran-conflict/,The Punch,2026-03-01 06:12:37+00:00,"Ex‑VP Harris slams Trump for dragging US into unwanted Iran conflict. Former VP Kamala Harris accuses Trump of dragging the US into a dangerous and unnecessary Iran conflict, calling for congressional oversight.  Read More: https://punchng.com/ex%e2%80%91vp-harris-slams-trump-for-dragging-us-into-unwanted-iran-conflict/",255d0120dcb6ad442b936706c18ac741,0.030868218196734503,0.0,0.005645745165408845,0.005213863664269739,0.02664372971693075,0.030868218196734503,0,0,0,0,0,0,0.01697752000820398,Low
"China calls for immediate stop of military actions against Iran launched by US, Israel","BEIJING: China is highly concerned over the military strikes against Iran launched by the US and Israel, a Chinese foreign ministry spokesperson said on Saturday, noting that China calls for an immediate stop of the military actions, reported Xinhua. Read ful…",https://www.thestar.com.my/news/world/2026/03/01/china-calls-for-immediate-stop-of-military-actions-against-iran-launched-by-us-israel,The Star Online,2026-03-01 06:10:00+00:00,"China calls for immediate stop of military actions against Iran launched by US, Israel. BEIJING: China is highly concerned over the military strikes against Iran launched by the US and Israel, a Chinese foreign ministry spokesperson said on Saturday, noting that China calls for an immediate stop of the military actions, reported Xinhua. Read ful…",8b40d6b2767dfe888f80421fa2661e0d,0.03431409789169318,0.045108770044524564,0.013221981360875844,0.004019873954205794,0.0,0.045108770044524564,0,0,0,0,0,0,0.024809823524488513,Low
Why did the US and Israel strike Iran? #tabloid,"What happened and why it matters The United States, joined by Israeli forces, launched coordinated strikes against targets in Iran in the early hours of Feb. 28. President Donald Trump described the action as a major military operation intended to “eliminate …",https://alltoc.com/tabloid/why-did-the-us-and-israel-strike-iran,Alltoc.com,2026-03-01 06:04:16+00:00,"Why did the US and Israel strike Iran? #tabloid. What happened and why it matters The United States, joined by Israeli forces, launched coordinated strikes against targets in Iran in the early hours of Feb. 28. President Donald Trump described the action as a major military operation intended to “eliminate …",1f6e80cde0aa475d1d2210dce54d9694,0.030293949624456,0.0605866200673652,0.027186333505235707,0.04010140766363394,0.0,0.0605866200673652,0,0,0,0,0,0,0.03332264103705086,Low
